STATE/UT,DISTRICT,Year
KARNATAKA,BAGALKOT,2020
KARNATAKA,BANGALORE COMMR.,2020
KARNATAKA,BANGALORE RURAL,2020
KARNATAKA,BELGAUM,2020
KARNATAKA,BELLARY,2020
KARNATAKA,BIDAR,2020
KARNATAKA,BIJAPUR,2020
KARNATAKA,CHAMARAJNAGAR,2020
KARNATAKA,CHICKMAGALUR,2020
KARNATAKA,CHITRADURGA,2020
KARNATAKA,DAKSHIN KANNADA,2020
KARNATAKA,DAVANAGERE,2020
KARNATAKA,DHARWAD COMMR.,2020
KARNATAKA,DHARWAD RURAL,2020
KARNATAKA,GADAG,2020
KARNATAKA,GULBARGA,2020
KARNATAKA,HASSAN,2020
KARNATAKA,HAVERI,2020
KARNATAKA,K.G.F.,2020
KARNATAKA,KODAGU,2020
KARNATAKA,KOLAR,2020
KARNATAKA,KOPPAL,2020
KARNATAKA,MANDYA,2020
KARNATAKA,MYSORE COMMR.,2020
KARNATAKA,MYSORE RURAL,2020
KARNATAKA,RAICHUR,2020
KARNATAKA,RAILWAYS,2020
KARNATAKA,SHIMOGA,2020
KARNATAKA,TUMKUR,2020
KARNATAKA,UDUPI,2020
KARNATAKA,UTTAR KANNADA,2020
,,
KARNATAKA,BAGALKOT,2002
KARNATAKA,BANGALORE COMMR.,2002
KARNATAKA,BANGALORE RURAL,2002
KARNATAKA,BELGAUM,2002
KARNATAKA,BELLARY,2002
KARNATAKA,BIDAR,2002
KARNATAKA,BIJAPUR,2002
KARNATAKA,CHAMARAJNAGAR,2002
KARNATAKA,CHICKMAGALUR,2002
KARNATAKA,CHITRADURGA,2002
KARNATAKA,DAKSHIN KANNADA,2002
KARNATAKA,DAVANAGERE,2002
KARNATAKA,DHARWAD COMMR.,2002
KARNATAKA,DHARWAD RURAL,2002
KARNATAKA,GADAG,2002
KARNATAKA,GULBARGA,2002
KARNATAKA,HASSAN,2002
KARNATAKA,HAVERI,2002
KARNATAKA,K.G.F.,2002
KARNATAKA,KODAGU,2002
KARNATAKA,KOLAR,2002
KARNATAKA,KOPPAL,2002
KARNATAKA,MANDYA,2002
KARNATAKA,MYSORE COMMR.,2002
KARNATAKA,MYSORE RURAL,2002
KARNATAKA,RAICHUR,2002
KARNATAKA,RAILWAYS,2002
KARNATAKA,SHIMOGA,2002
KARNATAKA,TUMKUR,2002
KARNATAKA,UDUPI,2002
KARNATAKA,UTTAR KANNADA,2002
,,
KARNATAKA,BAGALKOT,2003
KARNATAKA,BANGALORE COMMR.,2003
KARNATAKA,BANGALORE RURAL,2003
KARNATAKA,BELGAUM,2003
KARNATAKA,BELLARY,2003
KARNATAKA,BIDAR,2003
KARNATAKA,BIJAPUR,2003
KARNATAKA,CHAMARAJNAGAR,2003
KARNATAKA,CHICKMAGALUR,2003
KARNATAKA,CHITRADURGA,2003
KARNATAKA,DAKSHIN KANNADA,2003
KARNATAKA,DAVANAGERE,2003
KARNATAKA,DHARWAD COMMR.,2003
KARNATAKA,DHARWAD RURAL,2003
KARNATAKA,GADAG,2003
KARNATAKA,GULBARGA,2003
KARNATAKA,HASSAN,2003
KARNATAKA,HAVERI,2003
KARNATAKA,K.G.F.,2003
KARNATAKA,KODAGU,2003
KARNATAKA,KOLAR,2003
KARNATAKA,KOPPAL,2003
KARNATAKA,MANDYA,2003
KARNATAKA,MYSORE COMMR.,2003
KARNATAKA,MYSORE RURAL,2003
KARNATAKA,RAICHUR,2003
KARNATAKA,RAILWAYS,2003
KARNATAKA,SHIMOGA,2003
KARNATAKA,TUMKUR,2003
KARNATAKA,UDUPI,2003
KARNATAKA,UTTAR KANNADA,2003
,,
KARNATAKA,BAGALKOT,2004
KARNATAKA,BANGALORE COMMR.,2004
KARNATAKA,BANGALORE RURAL,2004
KARNATAKA,BELGAUM,2004
KARNATAKA,BELLARY,2004
KARNATAKA,BIDAR,2004
KARNATAKA,BIJAPUR,2004
KARNATAKA,CHAMARAJNAGAR,2004
KARNATAKA,CHICKMAGALUR,2004
KARNATAKA,CHITRADURGA,2004
KARNATAKA,DAKSHIN KANNADA,2004
KARNATAKA,DAVANAGERE,2004
KARNATAKA,DHARWAD COMMR.,2004
KARNATAKA,DHARWAD RURAL,2004
KARNATAKA,GADAG,2004
KARNATAKA,GULBARGA,2004
KARNATAKA,HASSAN,2004
KARNATAKA,HAVERI,2004
KARNATAKA,K.G.F.,2004
KARNATAKA,KODAGU,2004
KARNATAKA,KOLAR,2004
KARNATAKA,KOPPAL,2004
KARNATAKA,MANDYA,2004
KARNATAKA,MYSORE COMMR.,2004
KARNATAKA,MYSORE RURAL,2004
KARNATAKA,RAICHUR,2004
KARNATAKA,RAILWAYS,2004
KARNATAKA,SHIMOGA,2004
KARNATAKA,TUMKUR,2004
KARNATAKA,UDUPI,2004
KARNATAKA,UTTAR KANNADA,2004
,,
KARNATAKA,BAGALKOT,2005
KARNATAKA,BANGALORE COMMR.,2005
KARNATAKA,BANGALORE RURAL,2005
KARNATAKA,BELGAUM,2005
KARNATAKA,BELLARY,2005
KARNATAKA,BIDAR,2005
KARNATAKA,BIJAPUR,2005
KARNATAKA,CHAMARAJNAGAR,2005
KARNATAKA,CHICKMAGALUR,2005
KARNATAKA,CHITRADURGA,2005
KARNATAKA,DAKSHIN KANNADA,2005
KARNATAKA,DAVANAGERE,2005
KARNATAKA,DHARWAD COMMR.,2005
KARNATAKA,DHARWAD RURAL,2005
KARNATAKA,GADAG,2005
KARNATAKA,GULBARGA,2005
KARNATAKA,HASSAN,2005
KARNATAKA,HAVERI,2005
KARNATAKA,K.G.F.,2005
KARNATAKA,KODAGU,2005
KARNATAKA,KOLAR,2005
KARNATAKA,KOPPAL,2005
KARNATAKA,MANDYA,2005
KARNATAKA,MYSORE COMMR.,2005
KARNATAKA,MYSORE RURAL,2005
KARNATAKA,RAICHUR,2005
KARNATAKA,RAILWAYS,2005
KARNATAKA,SHIMOGA,2005
KARNATAKA,TUMKUR,2005
KARNATAKA,UDUPI,2005
KARNATAKA,UTTAR KANNADA,2005
,,
KARNATAKA,BAGALKOT,2006
KARNATAKA,BANGALORE COMMR.,2006
KARNATAKA,BANGALORE RURAL,2006
KARNATAKA,BELGAUM,2006
KARNATAKA,BELLARY,2006
KARNATAKA,BIDAR,2006
KARNATAKA,BIJAPUR,2006
KARNATAKA,CHAMARAJNAGAR,2006
KARNATAKA,CHICKMAGALUR,2006
KARNATAKA,CHITRADURGA,2006
KARNATAKA,DAKSHIN KANNADA,2006
KARNATAKA,DAVANAGERE,2006
KARNATAKA,DHARWAD COMMR.,2006
KARNATAKA,DHARWAD RURAL,2006
KARNATAKA,GADAG,2006
KARNATAKA,GULBARGA,2006
KARNATAKA,HASSAN,2006
KARNATAKA,HAVERI,2006
KARNATAKA,K.G.F.,2006
KARNATAKA,KODAGU,2006
KARNATAKA,KOLAR,2006
KARNATAKA,KOPPAL,2006
KARNATAKA,MANDYA,2006
KARNATAKA,MYSORE COMMR.,2006
KARNATAKA,MYSORE RURAL,2006
KARNATAKA,RAICHUR,2006
KARNATAKA,RAILWAYS,2006
KARNATAKA,SHIMOGA,2006
KARNATAKA,TUMKUR,2006
KARNATAKA,UDUPI,2006
KARNATAKA,UTTAR KANNADA,2006
,,
KARNATAKA,BAGALKOT,2007
KARNATAKA,BANGALORE COMMR.,2007
KARNATAKA,BANGALORE RURAL,2007
KARNATAKA,BELGAUM,2007
KARNATAKA,BELLARY,2007
KARNATAKA,BIDAR,2007
KARNATAKA,BIJAPUR,2007
KARNATAKA,CHAMARAJNAGAR,2007
KARNATAKA,CHICKMAGALUR,2007
KARNATAKA,CHITRADURGA,2007
KARNATAKA,DAKSHIN KANNADA,2007
KARNATAKA,DAVANAGERE,2007
KARNATAKA,DHARWAD COMMR.,2007
KARNATAKA,DHARWAD RURAL,2007
KARNATAKA,GADAG,2007
KARNATAKA,GULBARGA,2007
KARNATAKA,HASSAN,2007
KARNATAKA,HAVERI,2007
KARNATAKA,K.G.F.,2007
KARNATAKA,KODAGU,2007
KARNATAKA,KOLAR,2007
KARNATAKA,KOPPAL,2007
KARNATAKA,MANDYA,2007
KARNATAKA,MYSORE COMMR.,2007
KARNATAKA,MYSORE RURAL,2007
KARNATAKA,RAICHUR,2007
KARNATAKA,RAILWAYS,2007
KARNATAKA,SHIMOGA,2007
KARNATAKA,TUMKUR,2007
KARNATAKA,UDUPI,2007
KARNATAKA,UTTAR KANNADA,2007
,,
KARNATAKA,BAGALKOT,2008
KARNATAKA,BANGALORE COMMR.,2008
KARNATAKA,BANGALORE RURAL,2008
KARNATAKA,BELGAUM,2008
KARNATAKA,BELLARY,2008
KARNATAKA,BIDAR,2008
KARNATAKA,BIJAPUR,2008
KARNATAKA,CBPURA,2008
KARNATAKA,CHAMARAJNAGAR,2008
KARNATAKA,CHICKMAGALUR,2008
KARNATAKA,CHITRADURGA,2008
KARNATAKA,DAKSHIN KANNADA,2008
KARNATAKA,DAVANAGERE,2008
KARNATAKA,DHARWAD COMMR.,2008
KARNATAKA,DHARWAD RURAL,2008
KARNATAKA,GADAG,2008
KARNATAKA,GULBARGA,2008
KARNATAKA,HASSAN,2008
KARNATAKA,HAVERI,2008
KARNATAKA,K.G.F.,2008
KARNATAKA,KODAGU,2008
KARNATAKA,KOLAR,2008
KARNATAKA,KOPPAL,2008
KARNATAKA,MANDYA,2008
KARNATAKA,MYSORE COMMR.,2008
KARNATAKA,MYSORE RURAL,2008
KARNATAKA,RAICHUR,2008
KARNATAKA,RAILWAYS,2008
KARNATAKA,RAMANAGAR,2008
KARNATAKA,SHIMOGA,2008
KARNATAKA,TUMKUR,2008
KARNATAKA,UDUPI,2008
KARNATAKA,UTTAR KANNADA,2008
,,
KARNATAKA,BAGALKOT,2009
KARNATAKA,BANGALORE COMMR.,2009
KARNATAKA,BANGALORE RURAL,2009
KARNATAKA,BELGAUM,2009
KARNATAKA,BELLARY,2009
KARNATAKA,BIDAR,2009
KARNATAKA,BIJAPUR,2009
KARNATAKA,CBPURA,2009
KARNATAKA,CHAMARAJNAGAR,2009
KARNATAKA,CHICKMAGALUR,2009
KARNATAKA,CHITRADURGA,2009
KARNATAKA,DAKSHIN KANNADA,2009
KARNATAKA,DAVANAGERE,2009
KARNATAKA,DHARWAD COMMR.,2009
KARNATAKA,DHARWAD RURAL,2009
KARNATAKA,GADAG,2009
KARNATAKA,GULBARGA,2009
KARNATAKA,HASSAN,2009
KARNATAKA,HAVERI,2009
KARNATAKA,K.G.F.,2009
KARNATAKA,KODAGU,2009
KARNATAKA,KOLAR,2009
KARNATAKA,KOPPAL,2009
KARNATAKA,MANDYA,2009
KARNATAKA,MYSORE COMMR.,2009
KARNATAKA,MYSORE RURAL,2009
KARNATAKA,RAICHUR,2009
KARNATAKA,RAILWAYS,2009
KARNATAKA,RAMANAGAR,2009
KARNATAKA,SHIMOGA,2009
KARNATAKA,TUMKUR,2009
KARNATAKA,UDUPI,2009
KARNATAKA,UTTAR KANNADA,2009
,,
KARNATAKA,BAGALKOT,2010
KARNATAKA,BANGALORE COMMR.,2010
KARNATAKA,BANGALORE RURAL,2010
KARNATAKA,BELGAUM,2010
KARNATAKA,BELLARY,2010
KARNATAKA,BIDAR,2010
KARNATAKA,BIJAPUR,2010
KARNATAKA,CBPURA,2010
KARNATAKA,CHAMARAJNAGAR,2010
KARNATAKA,CHICKMAGALUR,2010
KARNATAKA,CHITRADURGA,2010
KARNATAKA,DAKSHIN KANNADA,2010
KARNATAKA,DAVANAGERE,2010
KARNATAKA,DHARWAD COMMR.,2010
KARNATAKA,DHARWAD RURAL,2010
KARNATAKA,GADAG,2010
KARNATAKA,GULBARGA,2010
KARNATAKA,HASSAN,2010
KARNATAKA,HAVERI,2010
KARNATAKA,K.G.F.,2010
KARNATAKA,KODAGU,2010
KARNATAKA,KOLAR,2010
KARNATAKA,KOPPAL,2010
KARNATAKA,MANDYA,2010
KARNATAKA,MYSORE COMMR.,2010
KARNATAKA,MYSORE RURAL,2010
KARNATAKA,RAICHUR,2010
KARNATAKA,RAILWAYS,2010
KARNATAKA,RAMANAGAR,2010
KARNATAKA,SHIMOGA,2010
KARNATAKA,TUMKUR,2010
KARNATAKA,UDUPI,2010
KARNATAKA,UTTAR KANNADA,2010
KARNATAKA,YADGIRI,2010
,,
KARNATAKA,BAGALKOT,2011
KARNATAKA,BANGALORE COMMR.,2011
KARNATAKA,BANGALORE RURAL,2011
KARNATAKA,BELGAUM,2011
KARNATAKA,BELLARY,2011
KARNATAKA,BIDAR,2011
KARNATAKA,BIJAPUR,2011
KARNATAKA,CBPURA,2011
KARNATAKA,CHAMARAJNAGAR,2011
KARNATAKA,CHICKMAGALUR,2011
KARNATAKA,CHITRADURGA,2011
KARNATAKA,DAKSHIN KANNADA,2011
KARNATAKA,DAVANAGERE,2011
KARNATAKA,DHARWAD COMMR.,2011
KARNATAKA,DHARWAD RURAL,2011
